Susceptible,Infected,Recover,Dead,Iter,Zone
201,1,0,0,1,0
198,1,0,0,1,1
198,1,0,0,1,2
197,2,0,0,1,3
201,2,0,0,1,4
198,1,0,0,1,5
199,1,0,0,1,6
198,1,0,0,1,7
200,1,0,0,1,8
198,1,0,0,1,9
199,1,0,0,2,0
194,3,0,0,2,1
198,2,0,0,2,2
198,2,0,0,2,3
200,2,0,0,2,4
197,1,0,0,2,5
199,1,0,0,2,6
201,1,0,0,2,7
197,5,0,0,2,8
197,2,0,0,2,9
200,1,0,0,3,0
193,3,0,0,3,1
199,2,0,0,3,2
199,2,0,0,3,3
199,3,0,0,3,4
193,2,0,0,3,5
199,1,0,0,3,6
200,1,0,0,3,7
197,8,0,0,3,8
196,2,0,0,3,9
198,1,0,0,4,0
193,3,0,0,4,1
198,2,0,0,4,2
200,2,0,0,4,3
197,4,0,0,4,4
194,2,0,0,4,5
201,1,0,0,4,6
200,1,0,0,4,7
196,9,0,0,4,8
196,2,0,0,4,9
200,1,0,0,5,0
191,5,0,0,5,1
196,3,0,0,5,2
199,2,0,0,5,3
198,4,0,0,5,4
192,2,0,0,5,5
200,1,0,0,5,6
200,1,0,0,5,7
191,14,0,0,5,8
198,2,0,0,5,9
202,1,0,0,6,0
188,6,0,0,6,1
198,3,0,0,6,2
198,2,0,0,6,3
196,5,0,0,6,4
189,2,0,0,6,5
200,1,0,0,6,6
200,1,0,0,6,7
191,17,0,0,6,8
198,2,0,0,6,9
202,1,0,0,7,0
186,7,0,0,7,1
199,2,0,0,7,2
195,3,0,0,7,3
194,6,0,0,7,4
190,2,0,0,7,5
202,1,0,0,7,6
196,8,0,0,7,7
185,21,0,0,7,8
198,2,0,0,7,9
200,1,0,0,8,0
186,8,0,0,8,1
202,2,0,0,8,2
196,3,0,0,8,3
193,7,0,0,8,4
188,2,0,0,8,5
199,1,0,0,8,6
186,18,0,0,8,7
183,23,0,0,8,8
200,2,0,0,8,9
201,1,0,0,9,0
185,8,0,0,9,1
204,2,0,0,9,2
196,3,0,0,9,3
194,7,0,0,9,4
188,2,0,0,9,5
198,1,0,0,9,6
179,26,0,0,9,7
176,27,0,0,9,8
200,2,0,0,9,9
201,1,0,0,10,0
186,9,0,0,10,1
204,4,0,0,10,2
197,3,0,0,10,3
191,9,0,0,10,4
189,3,0,0,10,5
196,1,0,0,10,6
172,31,0,0,10,7
172,31,0,0,10,8
198,2,0,0,10,9
200,1,0,0,11,0
184,9,0,0,11,1
192,15,0,0,11,2
197,3,0,0,11,3
185,16,0,0,11,4
189,3,0,0,11,5
195,4,0,0,11,6
173,31,0,0,11,7
166,38,0,0,11,8
197,2,0,0,11,9
198,1,0,0,12,0
183,9,0,0,12,1
179,28,0,0,12,2
197,4,0,0,12,3
182,21,0,0,12,4
188,3,0,0,12,5
191,10,0,0,12,6
165,40,0,0,12,7
163,41,0,0,12,8
195,2,0,0,12,9
196,1,0,0,13,0
185,10,0,0,13,1
172,33,0,0,13,2
192,11,0,0,13,3
174,28,0,0,13,4
188,3,0,0,13,5
182,20,0,0,13,6
161,43,0,0,13,7
161,43,0,0,13,8
195,2,0,0,13,9
194,1,0,0,14,0
185,11,0,0,14,1
163,41,0,0,14,2
187,18,0,0,14,3
