Susceptible,Infected,Recover,Dead,Iter,Zone
203,1,0,0,1,0
195,2,0,0,1,1
196,2,0,0,1,2
201,1,0,0,1,3
195,3,0,0,1,4
197,3,0,0,1,5
199,1,0,0,1,6
202,1,0,0,1,7
198,3,0,0,1,8
196,1,0,0,1,9
200,2,0,0,2,0
193,3,0,0,2,1
196,3,0,0,2,2
201,1,0,0,2,3
194,3,0,0,2,4
195,4,0,0,2,5
199,2,0,0,2,6
205,1,0,0,2,7
197,3,0,0,2,8
195,3,0,0,2,9
199,3,0,0,3,0
195,4,0,0,3,1
193,4,0,0,3,2
202,1,0,0,3,3
191,7,0,0,3,4
195,3,0,0,3,5
196,4,0,0,3,6
204,1,0,0,3,7
195,5,0,0,3,8
194,4,0,0,3,9
199,5,0,0,4,0
193,5,0,0,4,1
191,4,0,0,4,2
205,1,0,0,4,3
186,13,0,0,4,4
196,3,0,0,4,5
195,4,0,0,4,6
203,1,0,0,4,7
193,6,0,0,4,8
192,5,0,0,4,9
200,7,0,0,5,0
191,6,0,0,5,1
188,5,0,0,5,2
206,1,0,0,5,3
181,18,0,0,5,4
197,4,0,0,5,5
191,6,0,0,5,6
201,1,0,0,5,7
194,6,0,0,5,8
191,6,0,0,5,9
199,7,0,0,6,0
189,7,0,0,6,1
185,8,0,0,6,2
208,1,0,0,6,3
172,27,0,0,6,4
198,4,0,0,6,5
189,7,0,0,6,6
204,1,0,0,6,7
192,6,0,0,6,8
190,6,0,0,6,9
197,7,0,0,7,0
188,7,0,0,7,1
186,9,0,0,7,2
208,2,0,0,7,3
168,29,0,0,7,4
197,5,0,0,7,5
189,7,0,0,7,6
204,1,0,0,7,7
186,13,0,0,7,8
190,7,0,0,7,9
191,17,0,0,8,0
187,7,0,0,8,1
183,10,0,0,8,2
206,3,0,0,8,3
161,35,0,0,8,4
199,5,0,0,8,5
190,8,0,0,8,6
205,1,0,0,8,7
173,24,0,0,8,8
187,8,0,0,8,9
183,24,0,0,9,0
188,5,0,0,9,1
186,11,0,0,9,2
200,10,0,0,9,3
157,37,0,0,9,4
192,12,0,0,9,5
183,15,0,0,9,6
205,0,0,0,9,7
164,32,0,0,9,8
188,8,0,0,9,9
175,30,0,0,10,0
186,5,0,0,10,1
178,21,0,0,10,2
192,20,0,0,10,3
151,41,0,0,10,4
177,27,0,0,10,5
169,28,0,0,10,6
198,9,0,0,10,7
155,42,0,0,10,8
188,8,0,0,10,9
171,35,0,0,11,0
180,11,0,0,11,1
163,36,0,0,11,2
187,25,0,0,11,3
146,45,0,0,11,4
172,33,0,0,11,5
164,36,0,0,11,6
190,15,0,0,11,7
149,46,0,0,11,8
178,18,0,0,11,9
169,37,0,0,12,0
173,19,0,0,12,1
153,46,0,0,12,2
181,30,0,0,12,3
144,47,0,0,12,4
166,40,0,0,12,5
159,42,0,0,12,6
185,20,0,0,12,7
138,56,0,0,12,8
175,20,0,0,12,9
163,41,0,0,13,0
166,29,0,0,13,1
147,53,0,0,13,2
177,37,0,0,13,3
139,51,0,0,13,4
161,44,0,0,13,5
155,48,0,0,13,6
176,27,0,0,13,7
131,62,0,0,13,8
170,23,0,0,13,9
155,48,0,0,14,0
161,36,0,0,14,1
140,59,0,0,14,2
164,48,0,0,14,3
140,50,0,0,14,4
156,50,0,0,14,5
148,54,0,0,14,6
170,38,0,0,14,7
122,70,0,0,14,8
163,28,0,0,14,9
150,55,0,0,15,0
150,46,0,0,15,1
136,64,0,0,15,2
162,54,0,0,15,3
132,57,0,0,15,4
154,52,0,0,15,5
145,57,0,0,15,6
160,48,0,0,15,7
118,72,0,0,15,8
153,35,0,0,15,9
143,59,0,0,16,0
143,53,0,0,16,1
132,65,0,0,16,2
157,59,0,0,16,3
130,60,0,0,16,4
147,61,0,0,16,5
141,63,0,0,16,6
149,59,0,0,16,7
116,77,0,0,16,8
150,36,0,0,16,9
138,62,0,0,17,0
138,59,0,0,17,1
131,67,0,0,17,2
151,62,0,0,17,3
126,67,0,0,17,4
143,62,1,0,17,5
133,71,0,0,17,6
144,63,0,0,17,7
112,81,1,0,17,8
149,39,0,0,17,9
135,65,0,0,18,0
133,64,0,0,18,1
130,68,0,0,18,2
146,67,0,0,18,3
