Susceptible,Infected,Recover,Dead,Iter,Zone
50,1,0,0,1,0
48,1,0,0,1,1
50,1,0,0,1,2
50,1,0,0,1,3
49,1,0,0,1,4
48,1,0,0,1,5
49,1,0,0,1,6
50,1,0,0,1,7
47,1,0,0,1,8
49,1,0,0,1,9
48,1,0,0,2,0
50,1,0,0,2,1
49,1,0,0,2,2
50,1,0,0,2,3
48,1,0,0,2,4
49,2,0,0,2,5
48,1,0,0,2,6
50,1,0,0,2,7
49,0,0,0,2,8
49,1,0,0,2,9
46,0,0,0,3,0
49,1,0,0,3,1
48,0,0,0,3,2
54,1,0,0,3,3
46,3,0,0,3,4
51,3,0,0,3,5
49,1,0,0,3,6
48,2,0,0,3,7
49,0,0,0,3,8
48,1,0,0,3,9
44,0,0,0,4,0
49,1,0,0,4,1
49,0,0,0,4,2
53,1,0,0,4,3
48,2,0,0,4,4
49,4,0,0,4,5
47,4,0,0,4,6
48,3,0,0,4,7
50,0,0,0,4,8
47,1,0,0,4,9
46,0,0,0,5,0
49,1,0,0,5,1
48,0,0,0,5,2
53,1,0,0,5,3
48,2,0,0,5,4
46,4,0,0,5,5
48,4,0,0,5,6
49,3,0,0,5,7
49,0,0,0,5,8
48,1,0,0,5,9
46,0,0,0,6,0
49,1,0,0,6,1
52,0,0,0,6,2
53,1,0,0,6,3
47,2,0,0,6,4
47,4,0,0,6,5
48,3,0,0,6,6
48,3,0,0,6,7
47,1,0,0,6,8
47,1,0,0,6,9
44,0,0,0,7,0
52,1,0,0,7,1
51,0,0,0,7,2
54,1,0,0,7,3
46,2,0,0,7,4
43,6,0,0,7,5
47,4,0,0,7,6
50,2,0,0,7,7
47,2,0,0,7,8
47,1,0,0,7,9
49,0,0,0,8,0
53,1,0,0,8,1
49,1,0,0,8,2
53,1,0,0,8,3
43,2,0,0,8,4
48,5,0,0,8,5
49,4,0,0,8,6
47,2,0,0,8,7
44,3,0,0,8,8
45,1,0,0,8,9
50,0,0,0,9,0
55,0,0,0,9,1
46,3,0,0,9,2
54,1,0,0,9,3
43,3,0,0,9,4
47,5,0,0,9,5
48,3,0,0,9,6
46,4,0,0,9,7
43,3,0,0,9,8
45,1,0,0,9,9
47,0,0,0,10,0
55,0,0,0,10,1
47,3,0,0,10,2
53,1,0,0,10,3
44,2,0,0,10,4
46,6,0,0,10,5
49,3,0,0,10,6
45,5,0,0,10,7
45,3,0,0,10,8
45,1,0,0,10,9
51,0,0,0,11,0
55,0,0,0,11,1
47,4,0,0,11,2
50,1,0,0,11,3
44,2,0,0,11,4
46,6,0,0,11,5
48,3,0,0,11,6
44,7,0,0,11,7
45,2,0,0,11,8
44,1,0,0,11,9
49,0,0,0,12,0
55,0,0,0,12,1
44,4,0,0,12,2
52,1,0,0,12,3
46,2,0,0,12,4
47,6,0,0,12,5
49,3,0,0,12,6
43,7,0,0,12,7
45,2,0,0,12,8
44,1,0,0,12,9
54,0,0,0,13,0
54,0,0,0,13,1
41,4,0,0,13,2
54,1,0,0,13,3
43,2,0,0,13,4
46,6,0,0,13,5
51,3,0,0,13,6
44,7,0,0,13,7
46,2,0,0,13,8
41,1,0,0,13,9
56,0,0,0,14,0
54,0,0,0,14,1
40,3,0,0,14,2
53,1,0,0,14,3
45,3,0,0,14,4
43,7,0,0,14,5
53,3,0,0,14,6
43,7,0,0,14,7
46,2,0,0,14,8
40,1,0,0,14,9
53,2,0,0,15,0
55,2,0,0,15,1
38,3,0,0,15,2
58,1,0,0,15,3
42,4,0,0,15,4
43,6,0,0,15,5
53,2,0,0,15,6
42,6,1,0,15,7
47,1,0,0,15,8
40,1,0,0,15,9
54,2,0,0,16,0
55,2,0,0,16,1
38,3,0,0,16,2
58,3,0,0,16,3
41,4,0,0,16,4
45,5,0,0,16,5
51,2,0,0,16,6
39,7,1,0,16,7
46,2,0,0,16,8
41,1,0,0,16,9
55,2,0,0,17,0
55,2,0,0,17,1
37,3,0,0,17,2
57,5,0,0,17,3
40,4,0,0,17,4
49,5,0,0,17,5
49,2,0,0,17,6
37,6,2,0,17,7
45,2,0,0,17,8
42,1,0,0,17,9
57,2,0,0,18,0
56,3,0,0,18,1
34,3,0,0,18,2
57,5,0,0,18,3
38,4,0,0,18,4
52,4,0,0,18,5
48,2,0,0,18,6
34,6,3,0,18,7
