Susceptible,Infected,Recover,Dead,Iter,Zone
47,1,0,0,1,0
47,1,0,0,1,1
49,1,0,0,1,2
49,1,0,0,1,3
51,1,0,0,1,4
51,1,0,0,1,5
50,0,0,0,1,6
48,1,0,0,1,7
49,2,0,0,1,8
49,1,0,0,1,9
47,1,0,0,2,0
49,1,0,0,2,1
48,1,0,0,2,2
47,1,0,0,2,3
52,1,0,0,2,4
52,1,0,0,2,5
49,0,0,0,2,6
50,1,0,0,2,7
48,2,0,0,2,8
48,1,0,0,2,9
48,1,0,0,3,0
51,1,0,0,3,1
48,1,0,0,3,2
46,1,0,0,3,3
51,2,0,0,3,4
50,0,0,0,3,5
49,0,0,0,3,6
51,1,0,0,3,7
49,2,0,0,3,8
47,1,0,0,3,9
47,1,0,0,4,0
49,1,0,0,4,1
47,1,0,0,4,2
47,1,0,0,4,3
50,2,0,0,4,4
52,0,0,0,4,5
51,0,0,0,4,6
50,1,0,0,4,7
48,2,0,0,4,8
49,1,0,0,4,9
49,1,0,0,5,0
52,1,0,0,5,1
47,2,0,0,5,2
46,1,0,0,5,3
51,1,0,0,5,4
51,0,0,0,5,5
51,0,0,0,5,6
47,1,0,0,5,7
48,2,0,0,5,8
48,1,0,0,5,9
50,1,0,0,6,0
52,1,0,0,6,1
49,3,0,0,6,2
44,1,0,0,6,3
51,1,0,0,6,4
50,0,0,0,6,5
51,0,0,0,6,6
45,1,0,0,6,7
48,2,0,0,6,8
49,1,0,0,6,9
50,1,0,0,7,0
53,1,0,0,7,1
49,3,0,0,7,2
43,1,0,0,7,3
53,1,0,0,7,4
49,0,0,0,7,5
51,0,0,0,7,6
42,1,0,0,7,7
51,2,0,0,7,8
48,1,0,0,7,9
49,1,0,0,8,0
54,1,0,0,8,1
46,3,0,0,8,2
45,1,0,0,8,3
54,1,0,0,8,4
47,0,0,0,8,5
53,0,0,0,8,6
44,1,0,0,8,7
50,2,0,0,8,8
47,1,0,0,8,9
49,1,0,0,9,0
53,1,0,0,9,1
46,3,0,0,9,2
43,1,0,0,9,3
55,1,0,0,9,4
47,0,0,0,9,5
52,0,0,0,9,6
48,1,0,0,9,7
50,2,0,0,9,8
46,1,0,0,9,9
49,1,0,0,10,0
51,1,0,0,10,1
52,2,0,0,10,2
42,1,0,0,10,3
55,4,0,0,10,4
45,0,0,0,10,5
52,0,0,0,10,6
48,1,0,0,10,7
47,2,0,0,10,8
46,1,0,0,10,9
48,2,0,0,11,0
50,1,0,0,11,1
51,2,0,0,11,2
41,1,0,0,11,3
56,3,0,0,11,4
45,0,0,0,11,5
57,0,0,0,11,6
47,3,0,0,11,7
45,2,0,0,11,8
45,1,0,0,11,9
48,2,0,0,12,0
49,1,0,0,12,1
51,2,0,0,12,2
39,1,0,0,12,3
53,5,0,0,12,4
48,0,0,0,12,5
57,0,0,0,12,6
46,3,0,0,12,7
44,1,0,0,12,8
48,2,0,0,12,9
48,2,0,0,13,0
49,1,0,0,13,1
52,2,0,0,13,2
37,1,0,0,13,3
55,5,0,0,13,4
48,0,0,0,13,5
57,0,0,0,13,6
46,3,0,0,13,7
44,1,0,0,13,8
47,2,0,0,13,9
51,2,0,0,14,0
47,0,0,0,14,1
54,3,0,0,14,2
37,1,0,0,14,3
56,5,0,0,14,4
47,0,0,0,14,5
55,0,0,0,14,6
47,3,0,0,14,7
43,1,0,0,14,8
46,2,0,0,14,9
52,3,0,0,15,0
45,0,0,0,15,1
56,3,0,0,15,2
37,1,0,0,15,3
57,5,0,0,15,4
45,0,0,0,15,5
57,0,0,0,15,6
47,3,0,0,15,7
41,1,0,0,15,8
45,2,0,0,15,9
49,5,0,0,16,0
44,0,0,0,16,1
58,2,0,0,16,2
37,1,0,0,16,3
56,5,0,0,16,4
44,0,0,0,16,5
57,0,0,0,16,6
48,3,0,0,16,7
43,2,0,0,16,8
44,2,0,0,16,9
50,5,0,0,17,0
44,0,0,0,17,1
57,2,0,0,17,2
38,1,0,0,17,3
53,7,0,0,17,4
44,0,0,0,17,5
57,0,0,0,17,6
46,3,0,0,17,7
43,3,0,0,17,8
46,1,0,0,17,9
47,6,0,0,18,0
47,0,0,0,18,1
55,2,0,0,18,2
38,1,0,0,18,3
56,6,0,0,18,4
43,0,0,0,18,5
59,0,0,0,18,6
46,3,0,0,18,7
40,4,0,0,18,8
45,2,0,0,18,9
48,6,0,0,19,0
49,0,0,0,19,1
54,2,0,0,19,2
38,1,0,0,19,3
57,6,1,0,19,4
42,0,0,0,19,5
56,0,0,0,19,6
46,3,0,0,19,7
38,5,0,0,19,8
45,3,0,0,19,9
46,6,0,0,20,0
47,0,0,0,20,1
54,2,0,0,20,2
42,2,0,0,20,3
56,5,1,0,20,4
41,0,0,0,20,5
57,0,0,0,20,6
48,2,0,0,20,7
37,6,0,0,20,8
44,4,0,0,20,9
44,7,0,0,21,0
48,0,0,0,21,1
51,3,0,0,21,2
43,2,0,0,21,3
55,6,1,0,21,4
41,0,0,0,21,5
59,0,0,0,21,6
49,2,0,0,21,7
35,6,0,0,21,8
44,4,0,0,21,9
44,7,0,0,22,0
48,0,0,0,22,1
49,3,0,0,22,2
42,2,0,0,22,3
56,6,0,0,22,4
40,0,0,0,22,5
59,0,0,0,22,6
47,2,0,0,22,7
39,6,1,0,22,8
44,4,1,0,22,9
44,8,0,0,23,0
46,0,0,0,23,1
49,3,0,0,23,2
41,2,0,0,23,3
56,6,0,0,23,4
45,0,0,0,23,5
59,0,0,0,23,6
46,2,0,0,23,7
38,6,1,0,23,8
44,3,1,0,23,9
45,8,0,0,24,0
46,0,0,0,24,1
48,4,0,0,24,2
42,0,0,0,24,3
54,6,0,0,24,4
45,0,0,0,24,5
58,0,0,0,24,6
44,2,0,0,24,7
38,8,1,0,24,8
46,4,1,0,24,9
47,8,0,0,25,0
43,0,0,0,25,1
52,3,0,0,25,2
42,0,0,0,25,3
51,8,0,0,25,4
44,0,0,0,25,5
58,0,0,0,25,6
43,2,0,0,25,7
38,9,2,0,25,8
46,3,1,0,25,9
47,7,0,0,26,0
46,0,0,0,26,1
51,3,0,0,26,2
42,0,0,0,26,3
51,8,0,0,26,4
44,0,0,0,26,5
57,1,0,0,26,6
42,2,0,0,26,7
36,11,2,0,26,8
46,3,1,0,26,9
48,8,0,0,27,0
48,0,0,0,27,1
50,5,0,0,27,2
39,0,0,0,27,3
51,8,0,0,27,4
44,0,0,0,27,5
57,1,0,0,27,6
42,2,0,0,27,7
36,10,2,0,27,8
45,3,1,0,27,9
44,10,1,0,28,0
50,0,0,0,28,1
48,6,0,0,28,2
36,0,0,0,28,3
51,8,0,0,28,4
45,0,0,0,28,5
55,1,0,0,28,6
40,2,1,0,28,7
38,11,2,0,28,8
48,3,0,0,28,9
43,10,2,0,29,0
49,1,0,0,29,1
50,5,0,0,29,2
35,0,0,0,29,3
51,8,0,0,29,4
44,0,0,0,29,5
55,1,0,0,29,6
39,3,1,0,29,7
40,11,1,0,29,8
48,3,0,0,29,9
41,11,2,0,30,0
45,3,0,0,30,1
54,4,0,0,30,2
34,0,0,0,30,3
52,8,0,0,30,4
44,0,0,0,30,5
54,2,0,0,30,6
39,3,1,0,30,7
